[2023-09-22 14:57:52,170] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 14:57:52] "DELETE /registro?titulo=Passeio%20na%20neve&data_registro=20/08/2023 HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:05,991] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:05] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:08,357] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:08] "OPTIONS /registro?titulo=sdsada&data_registro=30/03/2012 HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:08,365] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:08] "DELETE /registro?titulo=sdsada&data_registro=30/03/2012 HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:14,710] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:14] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:15,247] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:15] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:16,841] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:16] "OPTIONS /registro?titulo=asdasdas&data_registro=20/04/2015 HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:16,850] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:16] "DELETE /registro?titulo=asdasdas&data_registro=20/04/2015 HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:10:22,253] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:10:22] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:25:04,003] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:25:04] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:27:15,452] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:27:15] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:27:26,146] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:27:26] "POST /registro HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:28:50,929] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:28:50] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:28:56,780] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:28:56] "POST /registro HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
[2023-09-22 15:53:00,171] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 15:53:00] "GET /registros HTTP/1.1" 200 - - call_trace=/Users/conradocosta/Desktop/Pos/Sprint 1/0.MVP/Sprint1_MVP_backend/env_app/lib/python3.9/site-packages/werkzeug/_internal.py L187 
